ticker,setor,nome,preco_atual,p_l,p_vp,roe,dividend_yield,margem_liquida,divida_patrimonio,market_cap,p_l_vs_setor,roe_vs_setor,dividend_yield_vs_setor
FIQE3.SA,Communication Services,Unifique Telecomunicações S.A.,5.03,8.245902,1.6111468,18.125999,16.52,17.165,105.994,1958901760.0,-9.4245787,10.555999166666666,8.674
FLRY3.SA,Healthcare,Fleury S.A.,22.0,18.965517,2.3972976,12.617999999999999,7.32,8.011,98.018,11959777280.0,4.678344857142855,34.623374874999996,2.192857142857143
FRAS3.SA,Consumer Cyclical,Frasle Mobility S.A.,23.46,23.46,2.58171,12.4060005,2.14,5.391,112.652,6506281472.0,10.594982505,2.484174360869565,-10.86736842105263
GGBR4.SA,Basic Materials,Gerdau S.A.,24.73,21.504349,0.90672433,4.1810002,3.64,3.2169999999999996,28.232,48515366912.0,-3.6620584153846174,-8.274624806250001,-3.709230769230768
GGPS3.SA,Industrials,GPS Participações e Empreendimentos S.A.,12.63,10.023809,2.1131,22.337,4.23,5.0970003,137.766,9502186496.0,-7.823536452631579,18.626666629583333,-2.499999999999999
GMAT3.SA,Consumer Cyclical,Grupo Mateus S.A.,4.9,6.8055553,1.0088532,14.265998999999999,5.09,3.994,55.761,11272387584.0,-6.059462195,4.3441728608695644,-7.917368421052631
GOAU4.SA,Basic Materials,Metalurgica Gerdau S.A.,11.13,18.55,0.76547456,4.168,3.89,1.1419999,28.199,14721517568.0,-6.616407415384618,-8.28762500625,-3.459230769230768
GRND3.SA,Consumer Cyclical,Grendene S.A.,3.74,5.84375,1.069794,16.027,34.53,22.705000000000002,3.008,3374078464.0,-7.021267495,6.1051738608695665,21.52263157894737
HAPV3.SA,Financial Services,Hapvida Participações e Investimentos S.A.,6.46,,0.06385608,-0.358,,-0.545,32.983,3069068032.0,,-20.62610003,
HYPE3.SA,Healthcare,Hypera S.A.,24.63,9.329545,1.201522,13.163,4.32,19.823,53.285,17339420672.0,-4.9576271428571435,35.168374875,-0.8071428571428569
IGTI11.SA,Real Estate,Iguatemi S.A.,26.4,161.96318,1.5850143,13.514999999999999,2.52,41.908001999999996,89.883,,141.95422368333334,-10.95530773076923,-11.055833333333334
